Instance,Result,Time,Best,Mono
C1000.9,unknown,36000,No,No
C125.9,unknown,36000,No,No
C2000.5,unknown,36000,No,No
C2000.9,unknown,36000,No,No
C250.9,unknown,36000,No,No
C4000.5,unknown,36000,No,No
C500.9,unknown,36000,No,No
DSJC1000.5,unknown,36000,No,No
DSJC500.5,unknown,36000,No,No
MANN_a27,unknown,36000,No,No
MANN_a45,unknown,36000,No,No
MANN_a81,unknown,36000,No,No
bio-celegans,unknown,36000,No,No
bio-celegans-sat,sat,0.03,Yes,No
bio-diseasome,unknown,36000,No,No
bio-diseasome-sat,sat,0.01,No,No
bio-dmela,unknown,36000,No,No
bio-dmela-sat,sat,2.11,Yes,No
bio-yeast,unknown,36000,No,No
bio-yeast-sat,sat,0.03,Yes,No
brock200_2,unknown,36000,No,No
brock200_4,unknown,36000,No,No
brock400_2,unknown,36000,No,No
brock400_4,unknown,36000,No,No
brock800_2,unknown,36000,No,No
brock800_4,unknown,36000,No,No
ca-AstroPh,unknown,36000,No,No
ca-AstroPh-sat,sat,282.88,No,No
ca-CSphd,unknown,36000,No,No
ca-CSphd-sat,sat,0.04,Yes,No
ca-CondMat,unknown,36000,No,No
ca-CondMat-sat,sat,287.22,No,No
ca-Erdos992,unknown,36000,No,No
ca-Erdos992-sat,sat,0.23,No,No
ca-GrQc,unknown,36000,No,No
ca-GrQc-sat,sat,4.66,No,No
ca-HepPh,unknown,36000,No,No
ca-HepPh-sat,sat,179.56,No,No
ca-MathSciNet,unknown,36000,No,No
ca-MathSciNet-sat,unknown,36000,No,No
ca-citeseer,unknown,36000,No,No
ca-citeseer-sat,unknown,36000,No,No
ca-coauthors-dblp,unknown,36000,No,No
ca-coauthors-dblp-sat,unknown,36000,No,No
ca-dblp-2010,unknown,36000,No,No
ca-dblp-2010-sat,unknown,36000,No,No
ca-dblp-2012,unknown,36000,No,No
ca-dblp-2012-sat,unknown,36000,No,No
ca-hollywood-2009,unknown,36000,No,No
ca-hollywood-2009-sat,unknown,36000,No,No
ca-netscience,unknown,36000,No,No
ca-netscience-sat,sat,0.02,No,No
gen200_p0.9_44,unknown,36000,No,No
gen200_p0.9_55,unknown,36000,No,No
gen400_p0.9_55,unknown,36000,No,No
gen400_p0.9_65,unknown,36000,No,No
gen400_p0.9_75,unknown,36000,No,No
hamming10-4,unknown,36000,No,No
hamming8-4,unknown,36000,No,No
ia-email-EU,unknown,36000,No,No
ia-email-EU-sat,sat,5.45,Yes,No
ia-email-univ,unknown,36000,No,No
ia-email-univ-sat,sat,0.2,No,No
ia-enron-large,unknown,36000,No,No
ia-enron-large-sat,sat,160.36,No,No
ia-enron-only,unknown,36000,No,No
